Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Nikola Jokić,55,1546,691,578,80,46,100,213,4,2,46,27,2237.0,40.67
Luka Dončić,59,1973,465,495,95,33,235,236,13,2,33,8,2148.0,36.41
Victor Wembanyama,56,1359,621,166,58,168,110,141,2,0,35,1,1871.5,33.42
Jalen Johnson,63,1432,653,507,83,29,102,212,2,0,42,13,2009.0,31.89
Cade Cunningham,61,1497,340,603,90,52,123,226,3,0,37,3,1857.0,30.44
Tyrese Maxey,61,1767,251,407,124,50,202,149,5,1,7,0,1854.5,30.4
Shai Gilgeous-Alexander,59,1867,262,390,85,46,101,125,7,1,7,0,1788.0,30.31
Giannis Antetokounmpo,36,993,352,196,34,24,15,115,2,0,19,0,1074.0,29.83
Anthony Davis,20,407,221,56,22,33,10,41,0,0,13,0,567.5,28.38
Kawhi Leonard,54,1525,343,196,107,23,141,114,5,1,5,0,1529.0,28.31
Josh Giddey,48,843,400,433,51,19,94,174,0,0,25,12,1316.5,27.43
Anthony Edwards,58,1710,296,216,81,48,200,165,10,1,2,0,1573.0,27.12
Alperen Sengun,61,1230,544,374,75,62,30,204,0,0,30,3,1654.0,27.11
Jaylen Brown,63,1796,443,325,63,26,122,225,6,1,13,3,1706.0,27.08
Donovan Mitchell,62,1738,280,361,96,18,207,177,5,0,5,0,1674.5,27.01
Karl-Anthony Towns,66,1328,785,189,59,38,103,165,1,0,49,0,1768.5,26.8
Scottie Barnes,67,1246,526,359,92,104,60,176,0,0,25,2,1783.0,26.61
James Harden,61,1473,302,491,70,24,189,220,2,1,18,2,1617.0,26.51
Bam Adebayo,62,1262,615,178,72,43,108,106,1,1,27,0,1631.0,26.31
Jamal Murray,66,1660,292,470,61,23,201,151,4,1,16,0,1730.5,26.22
Joel Embiid,33,878,249,130,21,35,42,98,1,0,8,1,864.0,26.18
Deni Avdija,55,1330,384,365,43,35,110,213,1,0,16,3,1435.0,26.09
Evan Mobley,56,1022,500,201,45,105,60,106,0,0,23,0,1459.0,26.05
Lauri Markkanen,42,1123,289,89,42,21,115,63,3,1,5,0,1069.0,25.45
Paolo Banchero,60,1334,508,303,40,38,71,177,0,0,24,2,1520.5,25.34
Walker Kessler,5,72,54,15,7,9,6,16,0,0,2,0,126.0,25.2
LeBron James,50,1057,292,341,58,30,67,150,0,0,12,2,1237.0,24.74
Kevin Porter Jr.,38,661,198,280,83,19,46,110,0,0,10,2,939.5,24.72
Stephen Curry,39,1061,138,189,44,16,175,111,4,0,3,0,961.0,24.64
Michael Porter Jr.,52,1259,367,158,55,13,176,122,0,0,12,0,1268.5,24.39
Kevin Durant,67,1723,364,297,57,60,156,213,1,0,6,0,1628.5,24.31
Pascal Siakam,56,1332,369,218,62,23,96,121,0,0,9,0,1359.0,24.27
