season,#,Player,Pos,Team,GP,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,AVG,TTL
2024,1,Lamar Jackson,QB,BAL,17,7.7,2,6.6,6.9,11.3,-1.1,15.6,2,3.7,16.4,-5.3,4.9,5.1,BYE,17.6,-0.5,5.2,0.4,5.8,98.5
2024,2,Baker Mayfield,QB,TB,17,12.3,4.4,-9.9,12.2,1.3,7.9,10.2,2.1,-1.9,-7.6,BYE,1,-8.1,3.4,10.5,1.3,10.4,0,2.9,49.5
2024,3,Josh Allen,QB,BUF,17,13.8,-5.6,11.5,-9.4,-7.5,3.4,2.2,-1.4,3.2,3.7,3.8,BYE,8.1,34.3,22.8,-9.8,-1.2,-22.6,2.9,49.3
2024,4,Joe Burrow,QB,CIN,17,-9.3,1.8,6,0.6,12.7,-1.2,-3.9,-8.3,10.2,17.2,7.8,BYE,0,8,0.3,0,12.8,-8.6,2.7,46.1
2024,5,Jalen Hurts,QB,PHI,15,1,9.4,-7.5,-0.4,BYE,0.9,4,12.9,10,14.2,-2.5,-2.6,-2.7,6.6,9.6,-17.5,-,-,2.4,35.4
2024,6,Jayden Daniels,QB,WAS,17,10.8,-2,8.7,8.3,-1.4,0,-13.6,0,0,-7.9,-6.8,14.7,8.3,BYE,5.1,14.4,8.6,-18.4,1.7,28.8
2024,7,Jared Goff,QB,DET,17,-5,-4.6,-3.8,9.5,BYE,4.1,0,-6.7,-10.3,-3.7,13.4,-6.9,-3.4,5.4,22.6,3.3,1.6,-11.4,0.2,4.1
2024,8,Bo Nix,QB,DEN,17,-4.4,-5.1,-0.1,-10,1,0.7,-4.7,7.6,-2.2,-0.4,7.6,1.7,-6.1,BYE,-2,-1,-1.3,10.9,-0.5,-7.8
2024,9,Sam Darnold,QB,SEA,17,-1.8,5.5,3.8,4.8,-16.8,-,-1.5,-4,1.1,-7.1,2.4,3.4,-0.7,17,-6.3,0.9,1.6,-15,-0.7,-12.7
2024,10,Brock Purdy,QB,SF,15,-7.1,-0.4,6.4,-1.1,-7,3.1,1.4,3.8,BYE,7.3,-1.8,-,-18.1,4.5,-13.5,0.1,8.1,-,-1,-14.3
2024,11,Patrick Mahomes II,QB,KC,16,-2.3,-0.5,-2,-2.7,-7.7,BYE,-4.7,-3,4.6,0,-3.4,11.1,-3.7,-3.5,-2.7,1.7,1.8,-,-1.1,-17
2024,12,Kyler Murray,QB,MIN,17,-3.2,13.1,-3.6,-6.7,3,-9,2.4,0,-15.1,12.2,-,-6.4,-3.1,2.4,-8.4,-0.6,-6.2,5.3,-1.4,-23.9
2024,13,Jimmy Garoppolo,QB,LAR,1,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-,-1.7,-1.7,-1.7
2024,14,Tua Tagovailoa,QB,ATL,11,1.2,-6.9,-,-,-,-,-,-7.5,-2.4,-7.3,2.3,10.8,4.9,5.9,-11.7,-9.5,-,-,-1.8,-20.2
2024,15,Justin Herbert,QB,LAC,17,-7,-3.4,-10.4,-5.5,BYE,-7.3,-4,1.9,-0.4,3.3,3.2,-0.1,-12.3,-3.9,-3.7,1.2,0.2,5.4,-2.5,-42.8
2024,16,Derek Carr,QB,FA,10,3.9,7.4,-10.4,-7.6,-8.5,-,-,-,-6.5,4,-2.5,-,-5.7,-4.6,-,-,-,-,-3,-30.5
2024,17,Anthony Richardson Sr.,QB,IND,11,9.7,-2.5,-12.3,-11.5,-,-,-10,-9.7,-,-,6.9,-4.7,2.9,BYE,-3.1,-0.8,-,-,-3.2,-35.1
2024,18,Geno Smith,QB,NYJ,17,1.4,2.5,-6,5.9,0.5,-6.5,-1,-13.1,5.2,-,-4.5,-4.3,-7.9,-4.3,-13,1.4,-15.9,3.7,-3.3,-55.9
2024,19,Joe Milton III,QB,DAL,1,-,-,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-3.4,-3.4,-3.4
2024,20,Dak Prescott,QB,DAL,8,-5.9,-0.5,10.5,0,-3.7,-15.8,BYE,-6.6,-7.6,-,-,-,-,-,-,-,-,-,-3.7,-29.6
2024,21,Jordan Love,QB,GB,15,0,-,-,14.5,-5.1,5.6,0,-15.5,-8,BYE,0,-3,-1.3,-3.1,-0.9,-10.5,-10.2,-19.8,-3.8,-57.3
2024,22,Aaron Rodgers,QB,FA,17,-7.8,-0.3,1.6,-5.1,-7.3,-2.2,-3.8,-4.9,0.4,-12.5,-5.1,-,-5.3,0,11.6,-9.2,-21.7,3.4,-4,-68.2
2024,23,Russell Wilson,QB,FA,11,-,-,-,-,-,-,6.1,-8.4,-,2.6,-13.9,-3.9,7.6,-1.6,-10.1,-5.6,-5.5,-11.1,-4,-43.8
2024,24,Trevor Lawrence,QB,JAC,10,-6.1,-2.1,-9,-1.9,0.1,-2.9,-3.8,2.1,1.7,-,-,BYE,-19.1,-,-,-,-,-,-4.1,-41
2024,25,Caleb Williams,QB,CHI,17,-10.2,-6,-0.1,-5.2,1.5,8.6,BYE,-12.3,-10.7,-10.2,-5,9.2,5.8,-3.5,-8.6,0.8,-16.6,-11.7,-4.4,-74.2
2024,26,Daniel Jones,QB,IND,10,-10.5,2.9,0,-6.2,0,-8.2,-12.8,-14.5,4.5,-2.3,-,-,-,BYE,-,-,-,-,-4.7,-47.1
2024,27,Bryce Young,QB,CAR,14,-5.8,-12.4,-,-,-19,-,-19,-6.6,-9.2,-4.5,BYE,-1.2,3.3,-4.1,-4.5,5.1,-7.3,13.8,-5.1,-71.4
2024,28,Kirk Cousins,QB,FA,14,-9.2,2.1,-7.3,-8.2,13.3,-8.5,-9.6,6.4,-2.1,-5.3,-15.3,-,-14.2,-5.8,-11,-,-,-,-5.3,-74.7
2024,29,Matthew Stafford,QB,LAR,16,-1.7,-8.8,-6.6,-10.8,-8.7,BYE,-13.8,3.6,-1,-5.8,6.6,1.5,-4.7,3.2,-10.3,-15,-15,-,-5.5,-87.3
2024,30,Marcus Mariota,QB,WAS,3,-,-,-,-,-22,-,0.8,-,-,-,-,-,-,BYE,-,-,-,3.4,-5.9,-17.8
2024,31,C.J. Stroud,QB,HOU,17,1.3,-1.1,-7.6,6.8,-5.2,-1.6,-13.5,-9.8,-8.4,-4.7,-9.3,0,-5.9,BYE,-6.9,-3.9,-17.1,-16.6,-6.1,-103.5
2024,32,Justin Fields,QB,NYJ,10,-5.5,-4,0,15.3,-6.2,2.7,-,-,-,-,-19.5,-15.1,-19.6,-,-17.7,-,-,-,-7,-69.6
2024,33,Drake Maye,QB,NE,14,-,-,-17.3,-,-22.1,0.5,2,-10.7,-2.2,-3.7,-2.2,-3.2,0.1,BYE,0,-3.6,-14.3,-22.6,-7.1,-99.3
2024,34,Deshaun Watson,QB,CLE,7,-4.7,0,-3,-3.5,-13.7,-12.6,-13.7,-,-,BYE,-,-,-,-,-,-,-,-,-7.3,-51.2
2024,35,Joe Flacco,QB,FA,8,-,-,-,-1.7,4.5,-6.3,-,-22.2,-15.8,-2.6,-,-,-,-,-,-,-6.9,-8,-7.4,-59
2024,36,Mason Rudolph,QB,PIT,8,-,-,-,-13.3,-,-,-7.9,-0.7,-1.4,-,-,-,-,-,-1.7,-4.6,-11.2,-19.3,-7.5,-60.1
2024,37,Jameis Winston,QB,NYG,12,-,-15,-19.3,-,-21.8,-21,-10.1,1.4,-6.8,-,5.4,-3.2,15.7,-0.3,-15.9,-,-,-,-7.6,-90.9
2024,38,Will Levis,QB,TEN,12,-8.7,-2.9,-3.8,-16.2,BYE,-12.7,-,-,-,2.6,-4.6,-0.6,-4.1,-10.6,-19.9,-,-,-10.8,-7.7,-92.3
2024,39,Tyler Huntley,QB,BAL,5,-,-,-,-4.9,-14.6,-,-9.3,-,-,-,-,-,-,BYE,-,-,0,-11.9,-8.1,-40.7
2024,40,Drew Lock,QB,SEA,7,-,-,-,-,-,-,-17.3,-,-,BYE,-,-17.6,-4.5,-1.6,-,-13.5,10.2,-13.8,-8.3,-58.1
2024,41,Andy Dalton,QB,CAR,6,-17.4,-,5.2,0,-17.4,-4.1,-16.8,-,-,-,BYE,-,-,-,-,-,-,-,-8.4,-50.5
2024,42,Gardner Minshew II,QB,ARI,10,-5.6,-1.5,-4.4,-11.7,-12.4,-,-17.4,-7.2,-16.9,-,-2.2,-5,-,-,-,-,-,-,-8.4,-84.3
2024,43,Tanner McKee,QB,PHI,2,-,-,-,-,BYE,-,-,-,-,-,-,-,-,-,-,-,-14.2,-3.7,-9,-17.9
2024,44,Cooper Rush,QB,FA,12,-17.5,-15.2,-,-,-,-20,-,-,-8.9,-18.5,-3.8,0.3,-8.5,-2.8,0.6,-6.7,-16.1,-,-9.8,-117.1
2024,45,Joshua Dobbs,QB,NE,3,-,-15.4,-,-,-,-,-,-,-,-,-,-,-,BYE,-,-,-16.1,2.1,-9.8,-29.4
2024,46,Mac Jones,QB,SF,10,-,-,-20.5,-,-,-20.8,-,-,BYE,-9.3,-16,-,-0.3,-10.5,2.2,-8.1,-7,-8.9,-9.9,-99.2
2024,47,Aidan O'Connell,QB,LV,9,-,-,-12.1,-,-19.3,-8.9,-16.7,-,-,BYE,-,-,-0.7,-9.8,-,-10.5,-6.6,-5.7,-10,-90.3
2024,48,Spencer Rattler,QB,NO,7,-,-,-,-,-,-6.6,-12.5,-16,-,-,-,BYE,-,-,-9.1,-16.1,-8.9,-7.9,-11,-77.1
2024,49,Malik Willis,QB,MIA,7,-17.4,-2.4,6,-,-,BYE,-,-13.7,-,-,-,-17.7,-,-,-,-20.8,-,-18.9,-12.1,-84.9
2024,50,Michael Penix Jr.,QB,ATL,5,-,-,-,-,-,-,-18.2,-,-,-,-20.2,BYE,-,-,-,-14.6,-12,3.4,-12.3,-61.6
2024,51,Jacoby Brissett,QB,ARI,8,-9.4,-4.8,-15.5,-8.7,-14.7,-,-,-13.8,-,-,BYE,-,-20.3,-,-,-,-24.3,-,-13.9,-111.5
2024,52,Desmond Ridder,QB,GB,5,-,-,-,-,-,-,-,-,-14.7,BYE,-,-16.8,-,-13.3,-5.4,-,-,-22.2,-14.5,-72.4
2024,53,Jake Haener,QB,KC,8,-17.4,-15.7,-,-,-20.3,BYE,-13.3,-16.3,-,-,-21.4,-,-,-17.7,-16.8,-,-,-,-17.4,-138.9
2024,54,Dorian Thompson-Robinson,QB,FA,7,-,-,-,-,-,-,-13.1,-,-,-,-21.2,-17.7,-,-,-17.2,-12.8,-19.4,-21.8,-17.6,-123.2
2024,55,Mitchell Trubisky,QB,TEN,9,-,-15.6,-19.4,-16.6,-22.1,-,-,-22.5,-,-16.6,-,-,-20.4,-,-,-,-17.5,-13.4,-18.2,-164.1
2024,56,Clayton Tune,QB,FA,6,-,-18,-,-,-,-,-18.6,-,-19.9,-16.6,-,-,-,-,-18.3,-,-,-22.4,-19,-113.8
2024,57,Feleipe Franks,QB,FA,15,-17.4,-15.4,-19.4,-16.7,-22.1,-21,-18.8,-,-,-16.5,-,-17.7,-20.3,-17.6,-18.5,-22,-24.2,-21.4,-19.3,-289
2024,58,Josh Johnson,QB,FA,6,-,-,-,-16.7,-,-,-18.8,-,-19.7,-,-,-,-,-,-18.6,-,-23.6,-22.6,-20,-120
2024,1,Saquon Barkley,RB,PHI,16,21.7,7.7,21.8,1.7,BYE,-3.4,16.7,-1.1,21.4,-0.6,23.2,36.4,7.5,3.5,-1.5,15.1,6.8,-,11.1,176.9
2024,2,Jahmyr Gibbs,RB,DET,17,5.9,7.7,4.5,7.9,BYE,1.3,22,7.1,3.1,3.4,8.7,15.1,-1.8,8.4,17.5,13.5,14.2,33.8,10.1,172.3
2024,3,Bijan Robinson,RB,ATL,17,4.6,6.3,1.4,-0.5,-1.1,14.7,13.3,10.4,10,20,-0.3,BYE,13.3,9.2,3.6,12.4,12.7,19.1,8.8,149.1
2024,4,Derrick Henry,RB,BAL,17,-0.9,6.7,18.6,24,4.8,14.4,15.2,1.5,14.8,4.7,-0.1,4.2,1.9,BYE,-4.2,9,12.4,17.9,8.5,144.9
2024,5,Alvin Kamara,RB,NO,14,10.5,34.1,3.9,13,0.8,6.6,-1.6,5,16,6.5,2.3,BYE,3.7,2,6.1,-,-,-,7.8,108.9
2024,6,De'Von Achane,RB,MIA,17,11.5,19.6,-3,-6,-9.1,BYE,0.5,13.5,20.6,0.8,9.9,10.8,8.8,8,3.7,19.1,-6.3,5.9,6.4,108.3
2024,7,Jonathan Taylor,RB,IND,14,-0.7,5.6,14.7,7.9,-,-,-,5.5,-2.6,4.8,-3.6,-6.3,5.1,BYE,-0.8,27.9,15.5,12.8,6.1,85.8
2024,8,Joe Mixon,RB,FA,14,15.3,-1.9,-,-,-,16.4,16.4,10.2,5.1,7.6,24.7,-0.3,9.7,-,-0.3,-3.8,-6.2,-8.4,6,84.5
2024,9,Josh Jacobs,RB,GB,17,0.9,3.2,-6,-0.1,4.6,1.2,10.2,12.3,1.3,BYE,12.8,18.8,9.5,13.7,10.7,8.8,-1.2,-0.6,5.9,100.1
2024,10,Kyren Williams,RB,LAR,16,2.9,5.3,19.8,8.5,3.7,BYE,9.6,9.4,-1,1.8,-2,1.4,6.1,12.8,2.3,8,4.1,-,5.8,92.7
2024,11,James Cook III,RB,BUF,16,1.8,18.6,6.9,-6.1,6.1,-,-0.8,15.1,0.4,6.1,9.1,BYE,6.8,-6,15.4,15.7,-0.8,-3.4,5.3,84.9
2024,12,Kenneth Walker III,RB,KC,11,7.4,-,-,21.7,2.8,10.1,13.3,-4.7,2.2,-,3.3,3.5,-5.6,-,-,2,-,-,5.1,56
2024,13,Chuba Hubbard,RB,CAR,15,-10.1,1.7,16.1,10.2,5.7,4.5,1.2,-4.1,9.7,15.5,BYE,5.2,-9.9,9.8,-2,20.6,-,-,4.9,74.1
2024,14,David Montgomery,RB,HOU,14,4.8,7.1,9.4,3.1,-,10.2,-2,1.7,1.1,3.2,13.9,6.5,3.2,8.5,-3.4,-,-,-,4.8,67.3
2024,15,Chase Brown,RB,CIN,16,-6.2,-6.8,-2.9,11.3,4.6,3.6,-2.7,-1.8,15.2,13,8.7,BYE,6.8,13.4,15.4,2,1,-,4.7,74.6
2024,16,James Conner,RB,ARI,16,7.8,9.5,-8.3,6.4,2.2,-4.2,7.2,1.7,3.4,12.9,BYE,0.1,-1.1,11.3,19.9,14.7,-9.3,-,4.6,74.2
2024,17,Breece Hall,RB,NYJ,16,6.8,14.5,6.5,-8.1,-5.1,11.1,16.1,-3.3,-1,2.9,20.5,BYE,-6.2,-,2.2,2.1,-5.8,6,3.7,59.2
2024,18,J.K. Dobbins,RB,DEN,13,11.4,10.2,-3.4,-2.7,-,7.4,-0.4,3.6,13,-0.9,8.3,-0.9,-,BYE,-,-,3.2,-1.7,3.6,47.1
2024,19,Bucky Irving,RB,TB,17,-1.9,-7.7,-0.4,0.6,-6.2,7.7,6.7,2.2,-5.1,8.3,BYE,17.4,15.3,-8.1,2.4,6.3,10.9,4.2,3.1,52.6
2024,20,Aaron Jones Sr.,RB,MIN,17,7.4,-0.1,14,6,-5.5,BYE,10.6,-1.7,0.7,2.7,-5.3,10.1,-2.4,5.5,7.7,0.4,-0.4,0.3,2.9,50
2024,21,Christian McCaffrey,RB,SF,4,-,-,-,-,-,-,-,-,BYE,7.3,4,-2,-3.5,-,-,-,-,-,1.4,5.8
2024,22,Tony Pollard,RB,TEN,16,6.9,5.3,-5.9,6.9,BYE,7,-1.5,1.5,6.9,0.9,-5.7,12.1,-3.4,3.5,-2.4,-3.9,-,-6,1.4,22.2
2024,23,D'Andre Swift,RB,CHI,17,-6.5,-1.7,-5.6,17.6,8.2,11.1,BYE,5.7,2.7,-1.9,5.8,-0.3,-2.8,-5.9,-1,-3.6,0,0.3,1.3,22.1
