season,week,eligible_qb,eligible_rb,eligible_wr,eligible_te,samples,mean,stdev,min,p05,p10,p25,p50,p75,p90,p95,max,score_ge_100_rate
2024,1,23,43,88,22,20000,94.368,19.828,29.500,63.200,69.600,80.600,93.600,107.500,120.400,127.800,188.100,0.3762
2024,2,29,46,88,21,20000,89.385,21.649,18.500,55.700,62.300,74.200,88.200,103.400,117.700,127.300,193.300,0.2998
2024,3,27,46,86,22,20000,96.118,23.928,17.500,58.500,66.300,79.400,95.100,111.600,127.600,137.505,196.700,0.4210
2024,4,26,42,86,20,20000,97.760,22.120,20.900,61.500,69.300,82.700,97.400,112.600,126.400,134.600,194.200,0.4520
2024,5,26,47,86,28,20000,89.328,23.568,13.100,51.500,59.400,73.100,88.800,104.700,120.000,129.400,186.000,0.3198
2024,6,26,48,89,23,20000,88.688,23.547,6.300,49.700,57.900,72.700,88.700,104.500,119.100,128.000,181.700,0.3162
2024,7,23,46,95,27,20000,88.788,21.580,13.100,54.200,61.400,73.800,88.300,103.100,117.000,125.000,170.600,0.2983
2024,8,26,42,85,22,20000,108.863,21.428,23.900,73.800,81.400,94.300,108.900,123.400,136.600,143.900,200.400,0.6562
2024,9,27,42,83,24,20000,96.790,23.557,7.900,59.400,66.990,80.400,96.200,112.600,127.400,136.005,193.900,0.4391
2024,10,24,41,90,26,20000,82.486,22.259,13.900,47.800,54.900,67.300,81.400,96.300,111.200,120.805,187.500,0.2029
2024,11,25,43,87,23,20000,96.778,25.778,8.700,55.800,64.400,78.800,95.900,113.800,130.210,140.700,241.900,0.4368
2024,12,27,46,85,25,20000,85.690,23.909,9.800,48.600,55.790,69.200,84.500,100.900,117.000,126.900,190.300,0.2615
2024,13,27,43,85,24,20000,102.376,21.231,25.700,67.900,75.300,87.700,102.200,116.700,129.500,137.500,207.600,0.5427
2024,14,25,49,86,21,20000,87.994,27.061,4.300,45.400,54.100,69.100,86.700,105.500,123.400,134.200,218.100,0.3150
2024,15,25,47,87,24,20000,94.289,24.778,11.000,55.800,63.190,76.800,93.200,110.600,126.700,136.605,228.100,0.3941
2024,16,23,47,88,22,20000,101.150,23.476,10.000,63.300,71.600,85.000,100.500,116.700,131.700,140.800,195.100,0.5099
2024,17,23,44,87,25,20000,97.478,26.246,2.500,54.695,63.600,79.500,97.100,115.300,131.210,140.900,199.100,0.4572
2024,18,26,50,89,25,20000,85.638,26.290,3.800,44.000,52.200,67.100,84.800,102.900,119.900,130.400,212.800,0.2841
2025,1,23,44,80,28,20000,91.026,20.551,21.000,57.300,64.600,76.900,91.000,104.900,117.600,124.800,176.400,0.3305
2025,2,26,51,85,29,20000,96.593,21.712,21.800,61.800,69.000,81.700,96.000,110.800,125.000,133.400,189.800,0.4265
2025,3,28,48,85,31,20000,89.543,21.428,17.900,55.600,62.600,74.800,88.800,103.500,117.300,126.200,184.200,0.3029
2025,4,25,52,83,30,20000,99.899,22.227,18.500,64.600,71.900,84.500,99.200,114.600,129.100,138.000,206.700,0.4852
2025,5,25,46,84,31,20000,91.867,24.629,10.600,52.000,60.300,75.000,91.800,108.600,123.500,132.700,202.400,0.3678
2025,6,24,50,87,36,20000,86.628,22.928,11.900,51.100,58.000,70.200,85.500,101.800,116.900,126.200,188.600,0.2728
2025,7,21,46,88,34,20000,92.207,25.878,4.900,51.400,59.700,74.100,91.300,109.300,126.000,136.500,229.100,0.3691
2025,8,23,52,86,29,20000,81.758,24.392,3.500,42.800,50.800,64.600,81.300,98.100,113.800,122.800,190.800,0.2286
2025,9,24,49,79,33,20000,90.990,23.896,13.600,53.195,61.200,74.500,90.200,106.300,121.900,131.900,194.400,0.3397
2025,10,25,48,82,29,20000,87.040,24.539,0.000,48.700,56.600,69.900,85.900,102.700,119.400,129.505,208.700,0.2858
2025,11,25,55,85,28,20000,83.493,23.508,4.300,47.500,54.300,66.900,82.200,98.500,114.600,124.900,175.300,0.2325
2025,12,23,48,86,29,20000,80.903,24.871,8.700,42.900,50.100,63.600,79.300,96.200,113.000,125.200,215.200,0.2092
2025,13,23,54,80,29,20000,92.977,18.943,27.600,63.200,69.100,80.000,92.300,105.400,118.000,125.200,170.300,0.3456
2025,14,24,51,84,31,20000,83.105,22.936,11.200,47.100,54.400,67.200,82.200,97.900,113.200,122.300,189.700,0.2234
2025,15,22,51,84,30,20000,100.031,24.417,20.400,62.600,69.500,82.800,98.600,115.900,132.200,142.800,206.100,0.4784
2025,16,25,51,80,30,20000,97.481,24.242,21.100,59.000,66.900,80.575,96.800,113.600,129.100,138.200,201.200,0.4496
2025,17,21,49,86,34,20000,87.321,23.984,9.300,49.300,57.100,70.600,86.600,103.000,118.310,128.500,184.300,0.2917
2025,18,26,58,90,37,20000,70.920,21.431,4.900,36.900,44.200,56.100,70.100,84.800,99.100,107.600,162.200,0.0929
